,Location_Name,Latitude,Longitude,Description,County
35,"Founder's Hall, The Rockefeller University",40.7625,-73.955,"Building marked the start of John D. Rockefeller Jr.'s putting the vast family fortune to philanthropic purposes
","Founder's Hall, The Rockefeller University"
36,The Frick Collection and Frick Art Reference Library Building,40.771388888888886,-73.96722222222222,"
",New York
37,Governors Island,40.69138888888889,-74.01611111111112,"Island in NY Harbor which served various branches of the US Military from 1783 until the late 1990s; now a park
",New York
38,Grace Church,40.73166666666667,-73.99194444444444,"Gothic Revival masterpiece designed by James Renwick, Jr.
",Grace Church
39,Grand Central Terminal,40.75277777777778,-73.97638888888889,"Beaux-Arts architecture; historic rail gateway to New York City; largest train station in the world by number of platforms
",New York
40,Green-Wood Cemetery,40.65222222222222,-73.99111111111111,"Popular tourist attraction in the 1850s; most famous New Yorkers who died during the second half of the nineteenth century buried here
",Brooklyn
41,Hamilton Grange National Memorial,40.82138888888889,-73.94722222222222,"Home of Alexander Hamilton: military officer, lawyer, member of the United States Constitutional Convention, American statesman, first United States Secretary of the Treasury, and Founding Father; facade is oldest surviving structure in Manhattan
",New York
42,Solomon R. Guggenheim Museum,40.782777777777774,-73.9588888888889,"The only museum designed by Frank Lloyd Wright
",New York
43,Henry Street Settlement and Neighborhood Playhouse,40.71388888888889,-73.98527777777778,"One of the nation's first settlement homes where new immigrants and the poor could find assistance
",Henry Street Settlement and Neighborhood Playhouse
44,Matthew Henson Residence,40.82555555555556,-73.9388888888889,"Home of Matthew Henson, African-American polar explorer who may have been the first to reach the North Pole
",New York
45,Hispanic Society of America,40.83361111111111,-73.94638888888889,"Museum of Iberian Art
",New York
46,Holland Tunnel,40.7275,-74.0213888888889,"Tunnel underneath the Hudson River, connecting Manhattan and New Jersey; civil engineering landmark; one of the earliest ventilated tunnels
",New York
47,USS Intrepid,40.764722222222225,-74.00111111111111,"One of the most active U.S. ships during World War II; today a museum moored along the West Side
",New York
48,James Weldon Johnson Residence,40.81527777777777,-73.94305555555556,"Harlem home of African-American artist-activist James Weldon Johnson
",New York
49,King Manor,40.70305555555556,-73.80388888888889,"Home of Rufus King, a signer of Declaration of Independence and early U.S. Senator from New York
",Jamaica
50,Lettie G. Howard (schooner),40.70611111111111,-74.00333333333333,"Last remaining Fredonia-type schooner (once the standard for American fishing boats) at the South Street Seaport
",Lettie G. Howard (schooner)
51,Lorillard Snuff Mill,40.859722222222224,-73.8761111111111,"Oldest existing tobacco-manufacturing facility in U.S.
",Bronx
52,Low Memorial Library,40.80833333333333,-73.96194444444444,"First building on Morningside Heights campus; capped by largest freestanding granite dome in U.S.
",New York
53,R. H. Macy and Company Store (Macy's),40.750277777777775,-73.98833333333333,"Largest department store in world for many years
",R. H. Macy and Company Store (Macy's)
54,McGraw-Hill Building,40.757222222222225,-73.99111111111111,"Early Art Deco building; first U.S. building in International Style
",New York
55,Claude McKay Residence,40.814166666666665,-73.94166666666668,"The Harlem YMCA, whose residents included African-American writer Claude McKay
",Claude McKay Residence
56,Metropolitan Life Insurance Company Tower,40.74111111111111,-73.9875,"Tallest building in the world 1909-13; still part of the skyline a century later
",New York
57,Metropolitan Museum of Art,40.778888888888886,-73.96361111111112,"The Fifth Avenue building of the Metropolitan Museum of Art, one of the world's most important and prestigious art museums
",New York
58,J. Pierpont Morgan Library,40.74888888888889,-73.98166666666667,"Office, Library, and now Museum of J. P. Morgan; the Panic of 1907 ended in the Library
",New York
59,Morris-Jumel Mansion,40.83444444444444,-73.93861111111111,"Oldest building in Manhattan
",Morris-Jumel Mansion
60,National City Bank Building,40.70611111111111,-74.00916666666667,"Home to one of the country's largest and most important banks since 1908
",National City Bank Building
61,New York Amsterdam News Building,40.815,-73.94472222222223,"Influential black newspaper the New York Amsterdam News was published here 1916-38
",New York
62,New York Botanical Garden,40.86361111111111,-73.87833333333333,"One of the world's leading botanical gardens, with the largest herbarium in the U.S. and second largest in the world after the French National Museum of Natural History and home to many plant laboratories
",Bronx
63,New York Cotton Exchange,40.70444444444445,-74.01027777777777,"First commodity market in the U.S.; now 1 Hanover Square
",New York
64,New York Life Building,40.74277777777778,-73.98555555555555,"Last significant Cass Gilbert skyscraper in Manhattan
",New York
65,New York Public Library,40.75333333333333,-73.98222222222222,"One of the largest and most important libraries in the U.S.; listing is for main branch building.
",New York
66,New York Stock Exchange,40.706944444444446,-74.0111111111111,"One of the first securities markets in the U.S.; still the world's largest
",New York
67,"New York Studio School of Drawing, Painting and Sculpture",40.73305555555556,-73.99833333333333,"Original home of the Whitney Museum, the first devoted to 20th-century American art
","New York Studio School of Drawing, Painting and Sculpture"
68,New York Yacht Club,40.75555555555555,-73.98166666666667,"Oldest yachting club in U.S.; longtime home of the America's Cup
",New York
69,Old Merchant's House,40.7275,-73.9925,"Nineteenth-century family home; preserved inside and out
",New York
70,Old Quaker Meeting House,40.76305555555555,-73.83027777777778,"Only surviving 17th-century ecclesiastical frame building in New York; in almost continuous use since 1696
",Old Quaker Meeting House
71,Philosophy Hall,40.80611111111111,-73.9625,"Edwin Armstrong developed FM radio in this Columbia University building
",New York
72,Players Club,40.737500000000004,-73.98694444444445,"Extensive collection of art and theater memorabilia; interior redone by Stanford White
",New York
73,Plaza Hotel,40.764722222222225,-73.97444444444444,"French Renaissance-style building; outstanding example of American hotel architecture; symbol of elegance; visible from much of lower Central Park; setting for Kay Thompson's popular Eloise series of children's books
",New York
74,Plymouth Church of the Pilgrims,40.69916666666666,-73.99361111111111,"Important station on Underground Railroad when Henry Ward Beecher was pastor
",Plymouth Church of the Pilgrims
75,"Pupin Physics Laboratory, Columbia University",40.809999999999995,-73.96166666666667,"Columbia University building; site of first splitting of uranium atom in U.S. and other milestones in development of atomic bomb
",New York
76,"Quarters A, Brooklyn Navy Yard",40.7025,-73.98111111111112,"Home to Matthew Perry at the time of his opening of Japan
",Brooklyn
77,Paul Robeson Home,40.83444444444444,-73.9388888888889,"Home of legendary African-American actor and activist Paul Robeson
",Paul Robeson Home
78,Jackie Robinson House,40.64833333333333,-73.915,"Home of baseball great Jackie Robinson
",Brooklyn
79,Rockefeller Center,40.75861111111111,-73.97916666666667,"Successful urban planning project of 20th-century America; changed Midtown Manhattan; originating site of popular NBC television programs Today and Saturday Night Live
",New York
80,Sailors' Snug Harbor,40.6425,-74.10277777777777,"First and only home for retired merchant seamen in U.S.
",Richmond
81,St. Ann and the Holy Trinity Church,40.69444444444444,-73.99305555555556,"Site of first figural stained-glass windows in U.S.
",St. Ann and the Holy Trinity Church
82,St. George's Episcopal Church,40.73444444444444,-73.985,"Home church of Harry Thacker Burleigh, African-American singer who helped establish the spiritual in the liturgy of many American faiths
",New York
83,St. Patrick's Cathedral,40.75861111111111,-73.97638888888889,"First large-scale medieval-style church built in U.S.
",St. Patrick's Cathedral
84,St. Paul's Chapel,40.71138888888889,-74.01,"One of the few surviving colonial-era churches in city; George Washington worshipped here following his inauguration; site of informal memorials following September 11 attacks
",New York
85,Margaret Sanger Clinic,40.738055555555555,-73.99416666666667,"Clinic where Margaret Sanger dispensed birth control
",New York
86,Schomburg Center for Research in Black Culture,40.81444444444444,-73.9413888888889,"Research library of the New York Public Library (NYPL) and an archive repository for information on people of African descent worldwide.
",New York
87,Gen. Winfield Scott House,40.735,-73.99583333333334,"Home of Winfield Scott, heroic general in the U.S.-Mexican War and later presidential candidate
",Gen. Winfield Scott House
88,Seventh Regiment Armory,40.7675,-73.96611111111112,"One of the most impressive collections of 1880s interior decoration outside of a museum; only armory actually owned by the unit for which it was constructed
",Seventh Regiment Armory
89,Harry F. Sinclair House,40.776666666666664,-73.96361111111112,"Harry F. Sinclair, the oil industrialist, lived here from 1918 to 1930; now part of the Ukrainian Institute; often used in filmmaking and television production
",New York
90,Alfred E. Smith House,40.71333333333334,-73.99805555555555,"Home of four time New York State governor, Alfred E. Smith (and later presidential candidate) from 1907 to 1923
",New York
91,SoHo-Cast Iron Historic District,40.724444444444444,-74.00138888888888,"Believed to be the largest existing collection of late 19th-century cast iron facades in the world
",SoHo-Cast Iron Historic District
92,A. T. Stewart Company Store,40.71416666666667,-74.00611111111111,"Site of the first American department store (now known as the ""New York Sun Building"")
",New York
93,Stonewall,40.73388888888889,-74.00222222222222,"Site of 1969 Stonewall riots which began gay rights movement
",New York
94,St. Bartholomew's Church and Community House,40.757222222222225,-73.97361111111111,"A pivotal example of the work of Bertram Grosvenor Goodhue and an outstanding example of early 20th-century ecclesiastical architecture.[3]
",New York
95,Surrogate's Court,40.71361111111111,-74.00472222222223,"Probate Courthouse across from City Hall
",New York
96,Tenement Building at 97 Orchard Street,40.718611111111116,-73.99027777777778,"Preserved tenement building that housed hundreds of immigrants; now the heart of the Lower East Side Tenement Museum.
",Tenement Building at 97 Orchard Street
97,Third Judicial District Courthouse,40.734722222222224,-73.99916666666667,"Originally built as the Third Judicial District Courthouse; faced with demolition, public outcry led to its reuse as a branch of the New York Public Library
",New York
98,Tiffany and Company Building,40.75,-73.98138888888889,"Served as the home of Tiffany and Company from 1905 through 1940
",New York
99,Samuel J. Tilden House,40.737500000000004,-73.98722222222223,"Home of Samuel J. Tilden, former New York State governor and loser of the bitter 1876 presidential election
",New York
100,The Town Hall,,,"""America's Town Meetings of the Air"" radio programs from here in the 1930s created public-affairs media.
",New York
101,Triangle Shirtwaist Factory,40.730000000000004,-73.99583333333334,"Site of the Triangle Shirtwaist Factory fire, one of the worst industrial disasters in the U.S., which led to many workplace reforms
",Triangle Shirtwaist Factory
102,Trinity Church,40.70805555555556,-74.01222222222222,"Historic church which looks down Wall Street
",Trinity Church
103,Old New York County Courthouse,40.713055555555556,-74.00611111111111,"Historic courthouse, more commonly known as the Tweed Courthouse, connected to Tammany Hall, now used by NYC's Department of Education
",New York
104,Union Square,40.73555555555556,-73.99055555555556,"The political heart of Manhattan; many protests begin or end here
",Union Square
105,United Charities Building,40.739444444444445,-73.9863888888889,"Built in 1893 by a wealthy businessman in order to provide his favorite charities a low cost location for their operations
",New York
106,United Workers Cooperatives,40.86638888888889,-73.86972222222222,"Built in 1926 by the United Workers' Association to improve the living standards of its members, many of whom lived in squalid conditions in the tenements of the Lower East Side
",Bronx
107,U.S. Customhouse,40.70416666666667,-74.01388888888889,"Cass Gilbert designed Customhouse for New York Harbor; now part of the Smithsonian Institution
",New York
108,University Heights Campus (Bronx Community College of the City University of New York),40.85777777777778,-73.91222222222223,"Collection of Beaux Arts buildings by Stanford White is one of the best examples of that style anywhere.
",University Heights Campus (Bronx Community College of the City University of New York)
109,Van Cortlandt House,40.89,-73.8963888888889,"Mansion for the Van Cortlandt family built in 1748 and used during the American Revolution
",Van Cortlandt House
110,Voorlezer's House,40.57138888888889,-74.14750000000001,"Oldest known surviving schoolhouse in America; owned by the Staten Island historical society
",Richmond
111,Wards Point Archeological Site,40.49888888888889,-74.25194444444445,"Archaeological site in Conference House Park containing prehistoric remains.
",Wards Point Archeological Site
112,Woodlawn Cemetery,40.88916666666667,-73.87333333333332,"Illustrates transition from rural cemetery to 20th-century styles; notable dead buried here include Robert Moses and R.H. Macy
",Woodlawn Cemetery
113,Woolworth Building,40.71222222222222,-74.00805555555556,"One of the oldest — and most famous — skyscrapers in New York City; still one of the tallest buildings in New York City
",New York
114,Wyckoff House,40.644444444444446,-73.92083333333333,"Oldest surviving Dutch saltbox frame house in America
",Brooklyn
115,Wyckoff-Bennett Homestead,40.61083333333333,-73.95138888888889,"Housed Hessian soldiers during the American Revolution
",Brooklyn
